.interp,.note.ABI-tag,.note.gnu.build-i,.gnu.hash,.dynsym,.dynstr,.rela.dyn,.rela.plt,.init,.plt,.text,.fini,.rodata,.eh_frame_hdr,.eh_frame,.init_array,.fini_array,.dynamic,.got,.got.plt,.data,.bss,.comment,.symtab,.strtab,.shstrtab,filesize,time
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004c5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037431716918945312
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004d5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003642559051513672
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004d5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037992000579833984
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004e5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003846406936645508
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004e5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003763437271118164
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004e5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003764629364013672
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004f5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038993358612060547
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004f5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0036988258361816406
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000505,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003801107406616211
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000505,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0036733150482177726
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000525,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038084983825683602
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000535,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038471221923828134
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000535,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003674030303955078
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000535,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003804922103881836
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000555,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003735780715942383
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000555,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003778696060180664
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000565,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037872791290283203
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000565,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038962364196777344
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000585,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003814220428466797
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000585,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037348270416259774
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000585,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003743886947631836
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000595,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003742694854736328
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005a5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0036847591400146476
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005a5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003756999969482422
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005b5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003907918930053711
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005b5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003776073455810547
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005d5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003854036331176758
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005d5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003714323043823242
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005d5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003771066665649414
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005e5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037903785705566406
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005f5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037746429443359375
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000005f5,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003693819046020508
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000605,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003959178924560547
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000605,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003996610641479492
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000625,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004626274108886719
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000625,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.005589485168457031
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000625,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003970861434936523
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000635,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004790782928466797
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000645,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004052639007568359
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000645,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004368305206298828
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000655,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004884719848632813
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000655,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004354000091552734
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000675,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004662036895751953
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000675,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004328489303588867
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000675,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004581451416015625
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000685,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004522085189819336
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000013c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004689693450927734
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000695,000000000000000d,0000000000000016,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003783702850341797
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000144,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003787517547607422
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000148,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003963470458984375
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000014c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038423538208007812
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000150,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003994464874267578
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000154,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037436485290527344
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000158,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004167795181274414
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000015c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003787517547607422
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000160,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003750324249267578
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000164,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037965774536132812
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000168,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003763437271118164
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000016c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004026412963867188
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000170,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003942251205444336
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000174,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038170814514160156
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000178,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.004022836685180664
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000017c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003888368606567383
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000180,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003814697265625
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000184,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038199424743652335
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000188,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003824472427368164
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000018c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.00393986701965332
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000190,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037882328033447283
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000194,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037522315979003906
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000198,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003695964813232422
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000019c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037550926208496094
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001a0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003965854644775391
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001a4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037522315979003906
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001a8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003744840621948242
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001ac,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003821849822998047
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001b0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0036687850952148438
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001b4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037534236907958976
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001b8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003779172897338867
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001bc,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038361549377441406
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001c0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.003987312316894531
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001c4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0039021968841552734
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001c8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0038611888885498047
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001cc,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bb,103,17392,0.0037505626678466797
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001d0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0037419795989990243
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001d4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003825664520263672
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001d8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.004048824310302734
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001dc,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038077831268310547
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001e0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003920316696166992
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001e4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038492679595947283
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001e8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.004052400588989258
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001ec,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003841400146484375
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001f0,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003720998764038086
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001f4,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038909912109375
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,00000000000001f8,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0037860870361328134
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,00000000000001fc,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038576126098632812
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000200,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003805398941040039
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000204,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003817319869995117
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000208,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003891468048095703
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000020c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003824949264526367
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000210,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003812074661254883
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000214,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038919448852539054
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000218,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038738250732421892
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000021c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003899097442626953
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000220,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038924217224121094
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000224,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003805875778198242
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000228,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038721561431884774
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000022c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038046836853027344
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000230,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003782033920288086
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000234,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038521289825439453
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000238,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003757476806640625
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000023c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003885030746459961
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000240,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0037658214569091797
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000244,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003815174102783203
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000248,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003852367401123047
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000024c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0037870407104492188
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000250,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038187503814697283
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,0000000000000254,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003752470016479492
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,0000000000000485,000000000000000d,0000000000000258,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.003749847412109375
000000000000001c,20,24,24,150,159,108,90,000000000000001b,70,00000000000004a5,000000000000000d,000000000000025c,64,198,10,8,210,30,48,10,118,000000000000002b,768,00000000000003bc,103,17392,0.0038335323333740243
